"","X186827","X119060","X2448023","X85017","X543372","X1185","X85034","X2931039","X85025","X2807496","X267890","X1106","X2211325","X2897348","X1706371","X403","X2162846","X1096778","X433","X2937911","X2066474","X2881384","X1769717","X1706373","X453228","X188709","X28256","X213121","X45404","X84642","X1775411","X1892251","X1783343","X1890438","X49546","X75787","X689704","X255474","X2934961","X75682"
"MM-0001-01",0.133760087889509,0.104946458534024,0.0878668240597532,0.048011102856166,0.0472859819959377,0.0467180381713343,0.0457960409211222,0.0440581814292902,0.0343917937383586,0.0334365786610299,0.0316306631331541,0.030493965293042,0.029844192187005,0.0297477794692763,0.0225881224392904,0.0214384615446938,0.0200927344510187,0.0198310427886123,0.01810695654217,0.0149229062844078,0.0148329750939214,0.0134953499092991,0.0101119926888373,0.0100763442890048,0.00951974313707539,0.00941765908300973,0.00813350649813616,0.00790827342646748,0.00759878050064937,0.00755016904633239,0.00622469672528938,0.0058277031817007,0.00522654152998071,0.00494459509494222,0.00405338509913091,0.00208948234472489,0.00197119447255357,0.00188288366387772,0.00171355376467357,0.00121771693064037
"MM-0001-06",0.133939792223642,0.10508249818105,0.0876744538349439,0.0480960234873911,0.0475124659413626,0.046405626902963,0.0458220693569345,0.0443183685139232,0.0343466822566501,0.0331272923569964,0.0315499800502265,0.0304404739298067,0.0298681181282632,0.0299001231125061,0.0226723308376558,0.0215793606257615,0.0200239183915575,0.0198393563157569,0.0179649310719323,0.0148999204142725,0.0148508461051001,0.0137264043253669,0.0100831702857192,0.00998662191658648,0.00952041597944853,0.00949961273969066,0.00809032660019587,0.00792763459696123,0.00751423688382404,0.00741715509828731,0.00615029113867333,0.00591078717325578,0.00525415157987271,0.00498851021065681,0.00404863050672425,0.00201044642685688,0.00197897485901804,0.0018573559188951,0.00170159832891309,0.00121405573561323
"MM-0002-01",0.133671990850674,0.104978580497592,0.0875752347906995,0.0481654099266309,0.0473228045010031,0.0465813601868634,0.0457920612151933,0.044266769725811,0.0340858427750371,0.0331820560783896,0.0313393488858951,0.0306251635538928,0.0300121393333786,0.0297153193056592,0.0226031479884083,0.0215442879711564,0.0202195014392743,0.0196937059616,0.0179515541254349,0.0150330257712475,0.0148179826899406,0.0137760838171298,0.0100621989396862,0.0100597759190517,0.00965755449373407,0.00955094158581855,0.00820919390949533,0.00778940558457796,0.00740111652790835,0.00750712368066526,0.00629440185312618,0.00589036316233269,0.00529369433110092,0.00512771741764153,0.00407491495197573,0.00209348982815938,0.00196325246905803,0.00186330286788722,0.00175850722544753,0.00121817362396658
"MM-0002-06",0.133965311575631,0.105416796991692,0.0873953767223046,0.0482135796128551,0.0469765076143558,0.0466988481677989,0.0455035077230231,0.0443779953235869,0.0343698597365293,0.0334852334343292,0.0314734419978919,0.0303152880861372,0.0299430095722268,0.0296273372252483,0.022706510246336,0.0214186166527079,0.020215838901328,0.0198997533706493,0.0180462112914015,0.0149229557013359,0.014889487821617,0.0136239061478016,0.00997136223773681,0.0101267193090246,0.00966188764626186,0.0093705931375972,0.00813434750649835,0.00796039716870001,0.00754266844776387,0.0074864754645321,0.00619114456429985,0.00582093196889057,0.00527883495418413,0.0049561384843017,0.00400581597376449,0.00198369494482138,0.00191923828758495,0.00193783155409546,0.00174652750088731,0.0012048436698811
"MM-0003-01",0.133579622037854,0.105484281486956,0.0881057800016016,0.0483963093357827,0.0473740729198526,0.046517787106603,0.0459051206374047,0.0442576749741667,0.0342302062901067,0.0332653772047551,0.0312913368961255,0.0304794332208021,0.0296106046294429,0.0296438912328876,0.0224848594195781,0.0214052156730696,0.0200433594190957,0.0197003626792532,0.017901438849615,0.0150021274481332,0.0149288004376465,0.0137777593388219,0.0101432481743022,0.0100043127860115,0.0097331958130277,0.0095614562358351,0.00813350918951462,0.00792655335070669,0.00742291256815311,0.00740699288824481,0.00625884627667632,0.00589221122424268,0.00512083037050402,0.00495391493873818,0.00396207063899665,0.00208499565344497,0.00199912586484867,0.00187514532738098,0.00173813959726104,0.00119831772400678
"MM-0003-06",0.133521379219309,0.105196388685288,0.0876469832182942,0.0477662024573336,0.0474862178808016,0.0461120007781209,0.0457701833794764,0.044295227409309,0.0342109193984848,0.0335154738374214,0.0314895804747232,0.0306280894700093,0.0297193554101982,0.0297943884977056,0.0228336801297794,0.0213587241596121,0.0200755194130745,0.0198372198851577,0.0178960861213104,0.014966321954473,0.0150031437474164,0.0138936267034421,0.0101718466129161,0.0101009820302703,0.00948334855995526,0.00952225460532943,0.00827726115335582,0.00803479312057748,0.00743174941727776,0.00756375207122585,0.00631320061277021,0.00583938056017758,0.00516269327099103,0.00503208011866344,0.00408027150861665,0.00200991409406231,0.00195016552438054,0.00182719463096574,0.00175077204183789,0.00126583597628121
"MM-0004-01",0.134141557625225,0.105364925953124,0.0877366618223638,0.0479642882723913,0.0471770611660735,0.0464400398701075,0.0456862833040243,0.0442319883308309,0.0341088234368756,0.0336469299816381,0.0314141102425878,0.0304009569896864,0.0297061085744161,0.0296575762910759,0.0227305132841227,0.0214368769040554,0.0200876794271986,0.0196903841146138,0.0180429641242667,0.0150450078354535,0.0148897045287649,0.0137168967989445,0.0101134584372873,0.0098744787800122,0.00955751276399052,0.0095929915366392,0.00821500939518064,0.00790574160341292,0.00736853943264757,0.00749505807473436,0.00629848626134735,0.00592997561336438,0.00528031242741077,0.00491213648483015,0.0040586377088478,0.00202262474637698,0.00198011716027904,0.00187066849371189,0.0017819715620902,0.00123707116707088
"MM-0004-06",0.133788739186765,0.104931164165189,0.0874175555351795,0.0480716936996085,0.0472702596576302,0.0463396862438221,0.0458595257610299,0.0443819473657318,0.0343608721002262,0.0336325820384982,0.0315068569856701,0.0305962319301122,0.029513421045448,0.0298612924156342,0.0228681679497777,0.0214486847732432,0.0200029537569058,0.0197947208944704,0.0179542223674992,0.0151257551503511,0.0148086812455335,0.0137297200440404,0.0100217752079004,0.0101099679496377,0.00954476446588446,0.0094411729914628,0.00824322158286373,0.0079877426087833,0.0073882419476877,0.00738719203409559,0.0062487357290495,0.0058886153669553,0.00517292426833272,0.00500878777676597,0.00408871349887904,0.00202948297355128,0.0019699878699983,0.0019486396269587,0.00177680376904981,0.00123504835552034
"MM-0005-01",0.133478424943201,0.105344379410109,0.0874038744660083,0.0481961111981723,0.0472540932629379,0.0466272525331885,0.045870054230156,0.0442614909673797,0.0343304223655648,0.0334607862634741,0.031544073157654,0.0304562374517659,0.0296677673858704,0.0295504104331034,0.0227120840416329,0.0214534834284253,0.0200894723786006,0.0197549699264024,0.0179162605436789,0.0151464256375048,0.0148361675857286,0.013621136619656,0.0101394298981946,0.0100670480650509,0.00962256739064897,0.00954913145313909,0.00821744627054362,0.00795989343707594,0.00745849112690081,0.00750381761464615,0.00631759883458221,0.00585941480342008,0.00521641114005604,0.00494656042231637,0.00410011461628141,0.00201685302060634,0.00195255265426993,0.001897387859107,0.00177405764826505,0.00124630272893566
"MM-0005-06",0.133591741880324,0.105560969864494,0.0874686152847335,0.0482696648165119,0.0469944648031346,0.0465233532816589,0.0456705541849135,0.0442681249797796,0.0342784523550305,0.033571058048864,0.0313925307740151,0.0305517275724925,0.0296745731733251,0.0296284071523162,0.0227340390070161,0.0214486606582984,0.0201956348754844,0.0197906825337221,0.0179876631305433,0.0149705137260305,0.0147880307138539,0.0135615413053206,0.0102455850561681,0.0101059964572123,0.00963088630399562,0.00944767626786616,0.00821100852399234,0.00794091912549197,0.00752397088850688,0.00734912162783571,0.00626512891406977,0.00587108193160086,0.00523202787700645,0.00505826915226463,0.00410332319013748,0.00200476855010704,0.00197859568780283,0.00194697014585191,0.00173613319951246,0.00123993935166185
