"pwy_col","met_label","rho","p_val","FDR","Pathway","Category","met_base","Super_Class","Class","Met_SuperClass"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_035",-0.129268292682927,0.426623157128043,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_035","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_006",0.14671669793621,0.366315844178453,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_006","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_014",-0.0859287054409006,0.598051556979916,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_014","Benzenoids","Phenols","Aromatic & Indole Compounds"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_019",-0.0559099437148218,0.731853568114711,0.950843017534493,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_019","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_020",0.230769230769231,0.151957407058829,0.835765738823558,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_020","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_021",-0.184052532833021,0.255586952305509,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_021","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_033",0.0992495309568481,0.542317688751827,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_033","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_036",-0.0953095684803002,0.558540659134846,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_036","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_003",-0.0212007504690432,0.896686729528204,0.965153679858609,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_003","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_044",-0.04953095684803,0.761498101479595,0.950843017534493,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_044","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
