"clr_col","met_label","rho","p_val","FDR","name"
"X102684_CLR","METAB_C18_035",0.144465290806754,0.37379660007456,0.947927445583036,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_006",0.112007504690432,0.491386976289577,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_014",0.214821763602251,0.183132398824126,0.905468283215174,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_019",0.149155722326454,0.358313674585967,0.947927445583036,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_020",0.0180112570356473,0.912163653395927,0.986051689208155,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_021",0.076735459662289,0.637909829735134,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_033",-0.187804878048781,0.245853694102702,0.928142933208911,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_036",-0.0902439024390244,0.579725285313492,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_003",0.00187617260787993,0.99083275987266,0.9970840706605,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_044",0.0232645403377111,0.886691960493025,0.986051689208155,"Streptococcus infantarius"
"X102684_CLR","METAB_C18_050",0.207129455909944,0.199694675119465,0.905468283215174,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_011",0.232270168855535,0.149236754752104,0.88160231048002,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_025",0.0808630393996248,0.619880889343175,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_030",-0.0307692307692308,0.850504013801417,0.986051689208155,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_034",-0.0619136960600375,0.704298654563046,0.976831612198311,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_015",0.0183864915572233,0.910341066793703,0.986051689208155,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_017",0.0969981238273921,0.551560304564817,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_010",-0.1953095684803,0.227143667433951,0.919039774951195,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_037",-0.143527204502814,0.376940165121583,0.947927445583036,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_028",-0.131144465290807,0.419884423051131,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_036",-0.0855534709193246,0.599657005073276,0.953903699734449,"Streptococcus infantarius"
"X102684_CLR","METAB_HILIC_039",-0.0538461538461539,0.741404810388226,0.986051689208155,"Streptococcus infantarius"
"X1155388_CLR","METAB_C18_035",-0.15797373358349,0.330273588920727,0.947216860388394,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_006",0.0834896810506567,0.608520233259683,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_014",0.00956848030018762,0.953271759485898,0.992912136690699,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_019",0.189868667917448,0.240608157456923,0.928142933208911,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_020",0.114821763602251,0.480494394415707,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_021",-0.0893058161350845,0.583687685817485,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_033",0.0592870544090056,0.716310527464192,0.986051689208155,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_036",-0.348030018761726,0.0277611034728619,0.83439015852843,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_003",-0.19249530956848,0.234042201861648,0.927446737811995,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_044",-0.324015009380863,0.0413840935041262,0.83439015852843,"Clostridium sp. C1"
"X1155388_CLR","METAB_C18_050",-0.11219512195122,0.49065686750012,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_011",0.162476547842402,0.316496732185322,0.947216860388394,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_025",-0.0202626641651032,0.901235107965816,0.986051689208155,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_030",0.169981238273921,0.294352635049545,0.947216860388394,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_034",0.195872420262664,0.225780839036073,0.919039774951195,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_015",-0.0938086303939963,0.564779796933619,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_017",0.0150093808630394,0.926759548431165,0.986051689208155,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_010",0.224577861163227,0.163563682836656,0.893882299105997,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_037",0.156285178236398,0.335534499134447,0.947216860388394,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_028",-0.0641651031894935,0.694058686953097,0.973207565441925,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_036",-0.0791744840525329,0.62723065851636,0.953903699734449,"Clostridium sp. C1"
"X1155388_CLR","METAB_HILIC_039",0.0581613508442777,0.721479372328449,0.986051689208155,"Clostridium sp. C1"
"X1343_CLR","METAB_C18_035",-0.0801125703564728,0.623143009978214,0.953903699734449,"Streptococcus vestibularis"
