"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Beta_IQR","SE_IQR","CI_lo_IQR","CI_hi_IQR","Category"
"PFBS",0.0466463875595953,-0.351965953415987,0.445258728535177,0.81311717787219,40,"PWY-6737 starch degradation V",0.879702627436683,0.046319013934149,0.201946326676609,NA,NA,"Carbohydrates"
"PFHxS",-0.182420431772134,-0.741004519622976,0.376163656078708,0.510679687231018,40,"PWY-6737 starch degradation V",0.766019530846528,-0.181207643903565,0.283097166730835,NA,NA,"Carbohydrates"
"PFNA",-0.232049012160618,-0.575503109699096,0.111405085377861,0.178308670969508,40,"PWY-6737 starch degradation V",0.691690952534401,-0.359285073358813,0.271313923235383,NA,NA,"Carbohydrates"
"PFOA",-0.067305490752074,-0.516564683985132,0.381953702480984,0.76221898446866,40,"PWY-6737 starch degradation V",0.884959765421004,-0.0578138267614601,0.196889303686496,NA,NA,"Carbohydrates"
"PFOS",-0.116828178533529,-0.65014843687318,0.416492079806122,0.658452608680338,40,"PWY-6737 starch degradation V",0.942905230996332,-0.104853871779186,0.24421305439411,NA,NA,"Carbohydrates"
"PFBS",0.0332383296465804,-0.263640778140583,0.330117437433744,0.82105578560757,40,"PWY-7111 pyruvate fermentation to isobutanol",0.879702627436683,0.0330050564383115,0.150405893450046,NA,NA,"SCFAs"
"PFHxS",-0.262422065090607,-0.670482391587815,0.145638261406601,0.199541031629356,40,"PWY-7111 pyruvate fermentation to isobutanol",0.707934088486942,-0.260677401437008,0.206809905257212,NA,NA,"SCFAs"
"PFNA",-0.080381000713648,-0.342024603470816,0.18126260204352,0.535898859117055,40,"PWY-7111 pyruvate fermentation to isobutanol",0.691690952534401,-0.124455146217421,0.206687160998376,NA,NA,"SCFAs"
"PFOA",0.102543615167745,-0.230476944958692,0.435564175294182,0.534970244868369,40,"PWY-7111 pyruvate fermentation to isobutanol",0.870569554415075,0.0880825432896673,0.145947344393166,NA,NA,"SCFAs"
"PFOS",6.08387866110363e-05,-0.398350117773353,0.398471795346575,0.999753751401141,40,"PWY-7111 pyruvate fermentation to isobutanol",0.999753751401141,5.46031138256945e-05,0.182436641181597,NA,NA,"SCFAs"
"PFBS",0.328286245626581,-0.097281194091838,0.753853685344999,0.125947880151233,40,"COA-PWY coenzyme A biosynthesis I",0.786454315534794,0.325982267461549,0.215602409584124,NA,NA,"Vitamins & Cofactors"
"PFHxS",0.276029845866072,-0.338633897140864,0.890693588873009,0.367172468475692,40,"COA-PWY coenzyme A biosynthesis I",0.707934088486942,0.274194713445997,0.311519013738715,NA,NA,"Vitamins & Cofactors"
"PFNA",-0.424035871081972,-0.784333099904596,-0.0637386422593476,0.0225271681792012,40,"COA-PWY coenzyme A biosynthesis I",0.337907522688018,-0.656541295435476,0.284619270473986,NA,NA,"Vitamins & Cofactors"
"PFOA",0.135910154977363,-0.359760581575623,0.631580891530349,0.580379702943384,40,"COA-PWY coenzyme A biosynthesis I",0.870569554415075,0.116743612849184,0.217229313607085,NA,NA,"Vitamins & Cofactors"
"PFOS",0.336844793532224,-0.242854374323854,0.916543961388301,0.245290775458601,40,"COA-PWY coenzyme A biosynthesis I",0.942905230996332,0.302319878935522,0.265450453452859,NA,NA,"Vitamins & Cofactors"
"PFBS",0.292658528786737,-0.230836377172642,0.816153434746115,0.263264034740603,40,"PWY-5484 glycolysis II",0.789792104221808,0.290604593024524,0.265214752342275,NA,NA,"Carbohydrates"
"PFHxS",-0.213172480205801,-0.962037546082254,0.535692585670653,0.566086429033825,40,"PWY-5484 glycolysis II",0.77193603959158,-0.211755243137591,0.379533866116742,NA,NA,"Carbohydrates"
"PFNA",-0.167767046307524,-0.636999157440108,0.30146506482506,0.47174101466651,40,"PWY-5484 glycolysis II",0.691690952534401,-0.259756311731543,0.37067312893287,NA,NA,"Carbohydrates"
"PFOA",-0.213463526441303,-0.810723323826555,0.38379627094395,0.471901470230539,40,"PWY-5484 glycolysis II",0.870569554415075,-0.183360127081275,0.261751050169644,NA,NA,"Carbohydrates"
"PFOS",-0.338793948524591,-1.04436523732627,0.366777340277084,0.335374699461349,40,"PWY-5484 glycolysis II",0.942905230996332,-0.304069255243644,0.323088644836942,NA,NA,"Carbohydrates"
"PFBS",-0.222521880650061,-0.576612387033394,0.131568625733273,0.209721150809278,40,"PWY-6588 pyruvate fermentation to acetone",0.786454315534794,-0.220960177834029,0.179390524889833,NA,NA,"SCFAs"
"PFHxS",0.241244788602127,-0.263120598672724,0.745610175876979,0.337219131938076,40,"PWY-6588 pyruvate fermentation to acetone",0.707934088486942,0.239640918080992,0.255618473995519,NA,NA,"SCFAs"
"PFNA",0.115956702908066,-0.202966985203483,0.434880391019615,0.464333691992596,40,"PWY-6588 pyruvate fermentation to acetone",0.691690952534401,0.179537555979482,0.251935957830721,NA,NA,"SCFAs"
"PFOA",0.183733556445709,-0.220287668929195,0.587754781820614,0.361213560658438,40,"PWY-6588 pyruvate fermentation to acetone",0.870569554415075,0.157822785094125,0.177063617031792,NA,NA,"SCFAs"
"PFOS",0.0657002376545202,-0.42053200384967,0.55193247915871,0.78490689788718,40,"PWY-6588 pyruvate fermentation to acetone",0.942905230996332,0.0589662903364707,0.222650947504434,NA,NA,"SCFAs"
"PFBS",0.195232196131125,-0.105928818789371,0.496393211051621,0.196044165430109,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.786454315534794,0.193862017748723,0.152575207663024,NA,NA,"Carbohydrates"
"PFHxS",0.329070498263155,-0.0904859791079425,0.748626975634253,0.119955266167712,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.707934088486942,0.326882735059657,0.212636293461771,NA,NA,"Carbohydrates"
"PFNA",0.0315153819732326,-0.242242108662647,0.305272872609113,0.816094754921179,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.816094754921179,0.0487957531848765,0.216256609927832,NA,NA,"Carbohydrates"
"PFOA",-0.253726048002764,-0.590294238991714,0.0828421429861854,0.13447405034989,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.870569554415075,-0.217944682078553,0.147502105165517,NA,NA,"Carbohydrates"
"PFOS",-0.157697534856004,-0.568476770780541,0.253081701068533,0.439976915700075,40,"ANAGLYCOLYSIS-PWY glycolysis III",0.942905230996332,-0.141534322517402,0.188100208679719,NA,NA,"Carbohydrates"
"PFBS",-0.133091172554196,-0.543269405501077,0.277087060392686,0.513389734120409,40,"PWY-6572 chondroitin sulfate degradation I",0.816851195820644,-0.132157112234556,0.207805877820023,NA,NA,"Cell Wall"
"PFHxS",-0.248467865875143,-0.823724364140948,0.326788632390661,0.385525557226805,40,"PWY-6572 chondroitin sulfate degradation I",0.707934088486942,-0.246815974085747,0.291546945830719,NA,NA,"Cell Wall"
"PFNA",0.108463540232434,-0.25532357986554,0.472250660330408,0.547928213130993,40,"PWY-6572 chondroitin sulfate degradation I",0.691690952534401,0.167935776353114,0.28737613405595,NA,NA,"Cell Wall"
"PFOA",-0.198704326787343,-0.658877841986785,0.261469188412099,0.385658523028143,40,"PWY-6572 chondroitin sulfate degradation I",0.870569554415075,-0.170682323199345,0.201672540812279,NA,NA,"Cell Wall"
"PFOS",0.105436106061616,-0.447013497630317,0.657885709753549,0.700033749819152,40,"PWY-6572 chondroitin sulfate degradation I",0.942905230996332,0.0946294300283773,0.252972586371358,NA,NA,"Cell Wall"
"PFBS",-0.226612659042898,-0.542147998142995,0.0889226800571992,0.153249758884107,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.786454315534794,-0.225022246330486,0.159857576190362,NA,NA,"SCFAs"
"PFHxS",-0.233390811564015,-0.685091250892639,0.21830962776461,0.30046648316058,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.707934088486942,-0.231839156729353,0.228927241871511,NA,NA,"SCFAs"
"PFNA",0.242759542934596,-0.03244275433134,0.517961840200533,0.0818116265764687,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.613587199323516,0.375868353757254,0.217397944848355,NA,NA,"SCFAs"
"PFOA",0.121005080128633,-0.243936732150566,0.485946892407833,0.504277481971301,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.870569554415075,0.103940505620603,0.159936937046639,NA,NA,"SCFAs"
"PFOS",-0.0641333278754159,-0.500545616714575,0.372278960963744,0.766616863338867,40,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.942905230996332,-0.0575599810099873,0.199837857958623,NA,NA,"SCFAs"
"PFBS",0.124467517709599,-0.196845172806158,0.445780208225356,0.435889734608792,40,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.816851195820644,0.123593979914827,0.162784517422179,NA,NA,"Carbohydrates"
"PFHxS",-0.0397945235015872,-0.496918240046499,0.417329193043325,0.86037193309085,40,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.921827071168767,-0.0395299571102605,0.231675824310073,NA,NA,"Carbohydrates"
"PFNA",0.0840621976989696,-0.201768948799636,0.369893344197576,0.55335276202752,40,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.691690952534401,0.130154800426697,0.225794277299942,NA,NA,"Carbohydrates"
"PFOA",0.14538547005448,-0.216700607576836,0.507471547685795,0.419478088351284,40,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.870569554415075,0.124882684688012,0.158685402042338,NA,NA,"Carbohydrates"
