"Measure","PFAS","Beta","SE","P","Beta_IQR","SE_IQR"
"Richness","PFBS",8.5091090605908e-15,6.04888225372218e-15,0.169147359221691,8.4493904408172e-15,6.00642999499649e-15
"Richness","PFHxS",1.35049623960414e-15,8.78373274462498e-15,0.878772627580361,1.34151771981867e-15,8.72533575252303e-15
"Richness","PFNA",1.7977730229371e-15,5.5131945428642e-15,0.746482632618527,2.78351976771773e-15,8.53616435308637e-15
"Richness","PFOA",2.05889699861185e-15,7.01962083523095e-15,0.771182058015835,1.76854388947112e-15,6.02968848996429e-15
"Richness","PFOS",1.19635137335398e-14,8.08603076415313e-15,0.148777272733757,1.07373131276296e-14,7.25725286133546e-15
"Evenness","PFBS",-7.60119259732613e-06,1.4683604199724e-05,0.608252281204666,-7.54784591586826e-06,1.45805517450117e-05
"Evenness","PFHxS",-1.47749772811698e-06,2.07847163910955e-05,0.943771905874689,-1.46767486286504e-06,2.06465331204723e-05
"Evenness","PFNA",8.01374939079025e-06,1.29865525827336e-05,0.541547766688381,1.240781208651e-05,2.01072801556937e-05
"Evenness","PFOA",-7.12841450040125e-06,1.65800114627934e-05,0.670120621733449,-6.12313967857635e-06,1.42418382170911e-05
"Evenness","PFOS",2.61351762909133e-05,1.9224262445858e-05,0.183495177218487,2.34564508163359e-05,1.7253871239368e-05
"Shannon","PFBS",-4.22969913280122e-05,8.17072152224264e-05,0.608252281203027,-4.20001426303755e-05,8.11337777351545e-05
"Shannon","PFHxS",-8.22156626002061e-06,0.000115656978518687,0.943771905873739,-8.16690672586688e-06,0.000114888054889354
"Shannon","PFNA",4.45926720240446e-05,7.22639368674078e-05,0.541547766690079,6.90435235653352e-05,0.00011188737076214
"Shannon","PFOA",-3.96662079593312e-05,9.2259812138376e-05,0.670120621733561,-3.40723356983198e-05,7.92489993968072e-05
"Shannon","PFOS",0.000145429721819512,0.000106973800695737,0.183495177219351,0.000130523899250637,9.60095186168109e-05
"Simpson","PFBS",1.5241513707412e-07,1.03421308043015e-06,0.883762215823453,1.51345457328114e-07,1.02695476733588e-06
"Simpson","PFHxS",-4.48954475927216e-07,1.45629118618538e-06,0.759862520854142,-4.45969686687026e-07,1.44660930863169e-06
"Simpson","PFNA",-1.26427055749409e-07,9.16320206281218e-07,0.891126647329299,-1.95748965171308e-07,1.41875274308875e-06
"Simpson","PFOA",-1.08142082772716e-06,1.15090458489672e-06,0.354448051858593,-9.28914947232984e-07,9.88599853395152e-07
"Simpson","PFOS",2.65306383001129e-06,1.30557118439986e-06,0.050513144947545,2.38113799381168e-06,1.17175663684918e-06
"Richness","Mixture",8.07046499722018e-15,2.07395433366565e-14,0.700229061412904,2.63567000981475e-14,2.95753110672228e-14
"Evenness","Mixture",2.15627209304564e-05,3.30286536223794e-05,0.519374335226235,2.26209874310554e-05,4.71324880465077e-05
"Shannon","Mixture",0.000119986200654529,0.000183788617108132,0.519374335227635,0.000125874946193222,0.000262269691582668
"Simpson","Mixture",1.22116329802685e-07,2.32144188572194e-06,0.958434979753339,3.53110245673042e-07,3.09894930494787e-06
