"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Category"
"N.MeFOSAA",1.06400869725295,-0.114262558753406,2.24227995325931,0.0750467132103211,38,"PWY-6737 starch degradation V",0.375233566051606,"Carbohydrates"
"PFBA",0.277033276852656,-1.00125939009062,1.55532594379594,0.661227095131146,38,"PWY-6737 starch degradation V",0.792425304774099,"Carbohydrates"
"PFDA",0.602295243342149,-0.595163392883075,1.79975387956737,0.312529425916611,38,"PWY-6737 starch degradation V",0.668708209510124,"Carbohydrates"
"PFDoA",0.129931999379894,-1.06517809834622,1.32504209710601,0.825791066220017,38,"PWY-6737 starch degradation V",0.937447794410962,"Carbohydrates"
"PFHpA",0.415961103464873,-0.704652126932235,1.53657433386198,0.454321956275286,38,"PWY-6737 starch degradation V",0.618089492067122,"Carbohydrates"
"N.MeFOSAA",0.185648844272521,-0.853846760066179,1.22514444861122,0.717864228646854,38,"PWY-7111 pyruvate fermentation to isobutanol",0.961276396265678,"SCFAs"
"PFBA",-0.428142113433407,-1.49085527381003,0.634571046943212,0.417123516668876,38,"PWY-7111 pyruvate fermentation to isobutanol",0.792425304774099,"SCFAs"
"PFDA",0.948811824727291,-0.0088336643623752,1.90645731381696,0.052016807325086,38,"PWY-7111 pyruvate fermentation to isobutanol",0.668708209510124,"SCFAs"
"PFDoA",0.0778618580163728,-0.923982426117261,1.07970614215001,0.874951274783564,38,"PWY-7111 pyruvate fermentation to isobutanol",0.937447794410962,"SCFAs"
"PFHpA",0.318519011516977,-0.621980761481783,1.25901878451574,0.494471593653698,38,"PWY-7111 pyruvate fermentation to isobutanol",0.618089492067122,"SCFAs"
"N.MeFOSAA",0.408585747394432,-0.837269728715092,1.65444122350395,0.508123771337783,38,"COA-PWY coenzyme A biosynthesis I",0.907761221783845,"Vitamins & Cofactors"
"PFBA",0.617524128462465,-0.656536068569659,1.89158432549459,0.330155334253371,38,"COA-PWY coenzyme A biosynthesis I",0.792425304774099,"Vitamins & Cofactors"
"PFDA",0.931471448303906,-0.248436411962866,2.11137930857068,0.11737741794323,38,"COA-PWY coenzyme A biosynthesis I",0.668708209510124,"Vitamins & Cofactors"
"PFDoA",0.561214075919038,-0.628022993827322,1.7504511456654,0.342865750073125,38,"COA-PWY coenzyme A biosynthesis I",0.888383853353622,"Vitamins & Cofactors"
"PFHpA",0.448593816517991,-0.681183873376647,1.57837150641263,0.423802822020336,38,"COA-PWY coenzyme A biosynthesis I",0.618089492067122,"Vitamins & Cofactors"
"N.MeFOSAA",0.891279437682399,0.127338240483073,1.65522063488173,0.0237229834084155,38,"PWY-5484 glycolysis II",0.355844751126233,"Carbohydrates"
"PFBA",-0.621035482092521,-1.44860468971191,0.20653372552687,0.135856020935425,38,"PWY-5484 glycolysis II",0.509460078507845,"Carbohydrates"
"PFDA",-0.126472741616961,-0.941496897337234,0.688551414103312,0.753504519695023,38,"PWY-5484 glycolysis II",0.807326271101811,"Carbohydrates"
"PFDoA",0.13131464482905,-0.668670432669751,0.931299722327852,0.739783324003353,38,"PWY-5484 glycolysis II",0.937447794410962,"Carbohydrates"
"PFHpA",-0.223355405438851,-0.976829928049816,0.530119117172115,0.549466867858952,38,"PWY-5484 glycolysis II",0.634000232144944,"Carbohydrates"
"N.MeFOSAA",-0.9559463467049,-1.90704985865934,-0.00484283475045577,0.0489164863170062,38,"PWY-6588 pyruvate fermentation to acetone",0.366873647377547,"SCFAs"
"PFBA",0.803466838459198,-0.200504632365026,1.80743830928342,0.112625269322822,38,"PWY-6588 pyruvate fermentation to acetone",0.509460078507845,"SCFAs"
"PFDA",0.22507367027297,-0.766712058492337,1.21685939903828,0.646373428621414,38,"PWY-6588 pyruvate fermentation to acetone",0.745815494563169,"SCFAs"
"PFDoA",-0.0205240871510436,-0.997651876326129,0.956603702024042,0.966067945045251,38,"PWY-6588 pyruvate fermentation to acetone",0.966067945045251,"SCFAs"
"PFHpA",0.438870284737788,-0.470749463504234,1.34849003297981,0.332333510413367,38,"PWY-6588 pyruvate fermentation to acetone",0.618089492067122,"SCFAs"
"N.MeFOSAA",0.0791075679302724,-0.68094864916799,0.839163785028535,0.833106210096921,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.961276396265678,"Carbohydrates"
"PFBA",0.223582903220561,-0.556579930999705,1.00374573744083,0.562733466543079,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.792425304774099,"Carbohydrates"
