"Measure","PFAS","Beta","SE","P"
"Richness","N.MeFOSAA",2.83493861789786e-16,3.50511510807352e-16,0.424998013927275
"Richness","PFBA",3.09386136737883e-17,3.65437146622969e-16,0.933092628834982
"Richness","PFDA",-1.30742197527137e-16,3.46384975876323e-16,0.708498135880973
"Richness","PFDoA",-9.93431240126926e-17,3.4038444629179e-16,0.772405745475495
"Richness","PFHpA",3.6781103182684e-16,3.15330271774835e-16,0.252629361148025
"Evenness","N.MeFOSAA",3.99384819980511e-05,3.15031424773818e-05,0.21463474312281
"Evenness","PFBA",4.16900294956003e-06,3.33465959524734e-05,0.901341458580391
"Evenness","PFDA",1.0842733652615e-05,3.16255954899534e-05,0.734104513800891
"Evenness","PFDoA",-5.04488522367001e-05,2.97141530987179e-05,0.0998960064805399
"Evenness","PFHpA",-1.72595582182296e-05,2.92544567494164e-05,0.559621695927796
"Shannon","N.MeFOSAA",0.000222238498115218,0.000175299879210123,0.21463474312351
"Shannon","PFBA",2.31985019909036e-05,0.000185557813692201,0.90134145858082
"Shannon","PFDA",6.03346126813718e-05,0.000175981271497498,0.734104513799795
"Shannon","PFDoA",-0.000280723667797264,0.000165345011304039,0.0998960064802086
"Shannon","PFHpA",-9.60411639271896e-05,0.000162787021587185,0.559621695925662
"Simpson","N.MeFOSAA",4.06979655278709e-06,2.36954663907753e-06,0.0961879146304335
"Simpson","PFBA",4.72068767035662e-07,2.56014328909619e-06,0.854947118886683
"Simpson","PFDA",2.69604381110947e-06,2.3832104445368e-06,0.266905864007252
"Simpson","PFDoA",-2.11484140696429e-06,2.35767419552038e-06,0.376859443759762
"Simpson","PFHpA",-1.25074534197554e-06,2.24808955900413e-06,0.582091893495168
"Richness","n_detect",6.13517033968315e-17,1.21979009417621e-16,0.618658630474594
"Evenness","n_detect",-2.41489405966147e-06,1.1170447248202e-05,0.830306060739417
"Shannon","n_detect",-1.34377272766302e-05,6.21581816715133e-05,0.83030606073783
"Simpson","n_detect",4.21362213536675e-07,8.55073836608527e-07,0.625756506116391
